Gender,Age,Hours,mph,finish_all,stratum
F,28,4.9881,5.2563,1482,3
F,44,4.1967,6.2475,849,3
F,27,4.3714,5.9978,989,3
F,29,4.6186,5.6768,1180,3
F,53,4.5681,5.7396,1150,3
F,28,4.8806,5.3721,1408,3
F,34,5.1811,5.0604,1572,3
F,35,4.7878,5.4762,1325,3
F,34,3.7314,7.0265,424,3
F,34,4.2033,6.2376,859,3
F,31,4.2161,6.2187,873,3
F,52,4.3817,5.9837,1001,3
F,40,5.3886,4.8656,1664,3
F,54,5.0075,5.2359,1501,3
F,24,4.7419,5.5291,1289,3
F,34,4.3856,5.9784,1002,3
F,48,5.0575,5.1841,1525,3
F,29,5.89,4.4514,1848,3
F,51,4.7053,5.5722,1252,3
F,33,4.4414,5.9033,1045,3
F,45,4.3964,5.9637,1012,3
F,31,5.0258,5.2168,1511,3
F,35,4.8464,5.41,1381,3
F,29,5.3433,4.9068,1649,3
F,25,5.4203,4.8372,1674,3
F,35,3.8792,6.7589,575,3
F,46,4.4481,5.8944,1051,3
F,46,4.4625,5.8754,1059,3
F,50,4.7,5.5785,1249,3
F,44,6.0069,4.3647,1875,3
F,40,5.5444,4.7288,1733,3
F,24,4.2003,6.2421,853,3
F,47,5.4386,4.8209,1684,3
F,36,5.5803,4.6985,1747,3
F,45,4.0817,6.4235,765,3
F,56,5.8308,4.4966,1835,3
F,36,5.5419,4.731,1729,3
F,47,4.3494,6.0281,973,3
F,48,4.4014,5.9569,1016,3
F,53,5.5764,4.7017,1744,3
F,37,4.8239,5.4352,1358,3
F,50,5.3917,4.8628,1665,3
F,28,4.2933,6.1069,924,3
F,56,4.3542,6.0215,975,3
F,35,5.4283,4.83,1677,3
F,32,5.2053,5.037,1582,3
F,36,4.9122,5.3375,1434,3
F,55,5.6344,4.6533,1768,3
F,23,5.6411,4.6478,1770,3
F,50,4.0267,6.5113,720,3
F,48,5.7031,4.5973,1792,3
F,46,5.1811,5.0604,1574,3
F,64,5.3419,4.9081,1644,3
F,42,4.3106,6.0825,936,3
F,37,4.3639,6.0081,981,3
F,43,4.1017,6.3922,776,3
F,41,5.9344,4.4181,1859,3
F,29,5.9242,4.4257,1858,3
F,25,3.9408,6.6531,645,3
F,50,4.295,6.1045,925,3
F,31,5.0767,5.1646,1538,3
F,48,5.0369,5.2053,1515,3
F,42,3.7058,7.075,402,3
F,44,4.7347,5.5375,1283,3
F,58,4.7075,5.5696,1254,3
F,52,5.6253,4.6609,1763,3
M,58,4.6964,5.582746791,1247,4
M,45,3.3736,7.771716756,173,4
M,37,4.7692,5.497553731,1310,4
M,44,5.8469,4.484179771,1841,4
M,34,4.6417,5.648563734,1197,4
M,22,3.4194,7.66754671,194,4
M,42,5.0922,5.148783548,1542,4
M,46,3.7808,6.934648446,472,4
M,46,3.3886,7.737314534,179,4
M,53,3.8456,6.817935568,538,4
M,59,3.5561,7.372871426,279,4
M,53,4.4203,5.931471124,1028,4
M,39,4.4008,5.95767847,1015,4
M,28,4.1906,6.256628662,846,4
M,36,3.8894,6.741001286,586,4
M,46,3.5481,7.389610898,275,4
M,50,3.8258,6.853082117,516,4
M,41,3.8417,6.82483731,532,4
M,52,3.7156,7.056481758,414,4
M,42,5.0186,5.22430398,1505,4
M,42,3.4439,7.613123084,206,4
M,31,4.6953,5.584067917,1245,4
M,49,5.1156,5.125298653,1549,4
M,56,3.3614,7.799975209,168,4
M,35,4.3736,5.994760241,997,4
M,52,4.9925,5.251627441,1485,4
M,40,3.6508,7.181579548,343,4
M,49,4.1717,6.28495805,832,4
M,31,4.8092,5.451828106,1346,4
M,49,3.3594,7.80448983,166,4
M,55,3.4764,7.54194966,221,4
M,34,4.4808,5.85131114,1075,4
M,54,3.4847,7.52391391,226,4
M,49,3.9178,6.692250425,614,4
M,52,3.7494,6.992702623,441,4
M,33,5.4458,4.814460597,1691,4
M,49,3.6133,7.256111624,314,4
M,41,4.1372,6.33728347,805,4
M,59,4.4606,5.877911321,1057,4
M,56,4.0239,6.515773851,719,4
M,59,3.6881,7.109098441,392,4
M,33,3.7483,6.994775456,439,4
M,29,3.9683,6.60699286,673,4
M,46,4.9969,5.246956473,1490,4
M,61,5.3236,4.924993478,1637,4
